CI;Commune;;;
2042;Azy-sur-Marne;;;
2051;Barzy-sur-Marne;;;
2053;Vallées en Champagne;;;
2084;Bézu-le-Guéry;;;
2094;Blesmes;;;
2098;Bonneil;;;
2114;Brasles;;;
2146;Celles-lès-Condé;;;
2161;Chapelle-Monthodon;;;
2163;Charly-sur-Marne;;;
2166;Chartèves;;;
2168;Château-Thierry;;;
2186;Chézy-sur-Marne;;;
2187;Chierry;;;
2213;Connigis;;;
2228;Courtemont-Varennes;;;
2239;Crézancy;;;
2242;Crouttes-sur-Marne;;;
2268;Domptin;;;
2290;Essômes-sur-Marne;;;
2292;Étampes-sur-Marne;;;
2328;Fossoy;;;
2347;Gland;;;
2389;Jaulgonne;;;
2484;Mézy-Moulins;;;
2510;Monthurel;;;
2521;Montreuil-aux-Lions;;;
2524;Mont-Saint-Père;;;
2540;Nesles-la-Montagne;;;
2554;Nogentel;;;
2555;Nogent-l'Artaud;;;
2595;Passy-sur-Marne;;;
2596;Pavant;;;
2645;Reuilly-Sauvigny;;;
2653;Romeny-sur-Marne;;;
2669;Saint-Agnan;;;
2701;Saulchery;;;
2748;Trélou-sur-Marne;;;
2818;Villiers-Saint-Denis;;;
10002;Ailleville;;;
10007;Arconville;;;
10008;Argançon;;;
10011;Arrentières;;;
10012;Arsonval;;;
10022;Avirey-Lingey;;;
10025;Bagneux-la-Fosse;;;
10029;Balnot-sur-Laignes;;;
10032;Baroville;;;
10033;Bar-sur-Aube;;;
10034;Bar-sur-Seine;;;
10039;Bergères;;;
10041;Bertignolles;;;
10048;Bligny;;;
10058;Bragelogne-Beauvoir;;;
10068;Buxeuil;;;
10069;Buxières-sur-Arce;;;
10070;Celles-sur-Ource;;;
10071;Chacenay;;;
10076;Champignol-lez-Mondeville;;;
10079;Channes;;;
10097;Chervey;;;
10102;Colombé-la-Fosse;;;
10103;Colombé-le-Sec;;;
10111;Courteron;;;
10113;Couvignon;;;
10119;Cunfin;;;
10126;Dolancourt;;;
10136;Éguilly-sous-Bois;;;
10137;Engente;;;
10141;Essoyes;;;
10150;Fontaine;;;
10155;Fontette;;;
10160;Fravaux;;;
10170;Gyé-sur-Seine;;;
10176;Jaucourt;;;
10187;Landreville;;;
10197;Lignol-le-Château;;;
10199;Loches-sur-Ource;;;
10232;Merrey-sur-Arce;;;
10242;Meurville;;;
10248;Montgueux;;;
10250;Montier-en-l'Isle;;;
10261;Mussy-sur-Seine;;;
10262;Neuville-sur-Seine;;;
10264;Noé-les-Mallets;;;
10288;Plaines-Saint-Lange;;;
10295;Polisot;;;
10296;Polisy;;;
10306;Proverville;;;
10317;Riceys;;;
10330;Rouvres-les-Vignes;;;
10364;Saint-Usage;;;
10366;Saulcy;;;
10374;Spoy;;;
10384;Trannes;;;
10390;Urville;;;
10404;Verpillières-sur-Ource;;;
10420;Villenauxe-la-Grande;;;
10427;Ville-sur-Arce;;;
10438;Vitry-le-Croisé;;;
10439;Viviers-sur-Artaut;;;
10440;Voigny;;;
51002;Saint-Martin-d'Ablois;;;
51005;Allemant;;;
51007;Ambonnay;;;
51014;Arcis-le-Ponsart;;;
51020;Aubilly;;;
51028;Avenay-Val-d'Or;;;
51029;Avize;;;
51030;Aÿ-Champagne;;;
51036;Barbonne-Fayel;;;
51038;Baslieux-sous-Châtillon;;;
51039;Bassu;;;
51040;Bassuet;;;
51042;Baye;;;
51044;Beaumont-sur-Vesle;;;
51045;Beaunay;;;
51048;Belval-sous-Châtillon;;;
51049;Bergères-lès-Vertus;;;
51050;Bergères-sous-Montmirail;;;
51052;Berru;;;
51056;Bethon;;;
51058;Bezannes;;;
51061;Billy-le-Grand;;;
51063;Binson-et-Orquigny;;;
51064;Bisseuil;;;
51069;Bligny;;;
51072;Bouilly;;;
51073;Bouleuse;;;
51076;Boursault;;;
51079;Bouzy;;;
51081;Branscourt;;;
51085;Breuil;;;
51088;Brimont;;;
51089;Brouillet;;;
51090;Broussy-le-Grand;;;
51092;Broyes;;;
51093;Brugny-Vaudancourt;;;
51102;Cauroy-lès-Hermonville;;;
51103;Celle-sous-Chantemerle;;;
51105;Cernay-lès-Reims;;;
51109;Châlons-sur-Vesle;;;
51111;Chambrecy;;;
51112;Chamery;;;
51119;Champillon;;;
51120;Champlat-et-Boujacourt;;;
51121;Champvoisy;;;
51122;Changy;;;
51124;Chantemerle;;;
51136;Châtillon-sur-Marne;;;
51140;Chaumuzy;;;
51142;Chavot-Courcourt;;;
51145;Chenay;;;
51152;Chigny-les-Roses;;;
51153;Chouilly;;;
51157;Coizard-Joches;;;
51158;Val-des-Marais;;;
51163;Congy;;;
51171;Cormicy;;;
51172;Cormontreuil;;;
51173;Cormoyeux;;;
51177;Coulommes-la-Montagne;;;
51181;Courcelles-Sapicourt;;;
51186;Courjeonnet;;;
51188;Courmas;;;
51190;Courtagnon;;;
51192;Courthiézy;;;
51194;Courville;;;
51195;Couvrot;;;
51196;Cramant;;;
51198;Crugny;;;
51199;Cuchery;;;
51200;Cuis;;;
51201;Cuisles;;;
51202;Cumières;;;
51204;Damery;;;
51210;Dizy;;;
51217;Dormans;;;
51218;Val-de-Vière;;;
51225;Écueil;;;
51230;Épernay;;;
51238;Étoges;;;
51239;Étréchy;;;
51245;Faverolles-et-Coëmy;;;
51247;Fèrebrianges;;;
51249;Festigny;;;
51252;Fleury-la-Rivière;;;
51254;Fontaine-Denis-Nuisy;;;
51256;Fontaine-sur-Ay;;;
51266;Germaine;;;
51267;Germigny;;;
51273;Givry-lès-Loisy;;;
51275;Glannes;;;
51281;Grauves;;;
51282;Gueux;;;
51287;Hautvillers;;;
51291;Hermonville;;;
51294;Hourges;;;
51298;Igny-Comblizy;;;
51305;Janvry;;;
51308;Jonchery-sur-Vesle;;;
51309;Jonquery;;;
51310;Jouy-lès-Reims;;;
51314;Lagery;;;
51320;Leuvrigny;;;
51321;Lhéry;;;
51325;Lisse-en-Champagne;;;
51327;Loisy-en-Brie;;;
51328;Loisy-sur-Marne;;;
51331;Louvois;;;
51333;Ludes;;;
51338;Mailly-Champagne;;;
51342;Mancy;;;
51344;Mardeuil;;;
51346;Mareuil-le-Port;;;
51347;Mareuil-sur-Ay;;;
51348;Marfaux;;;
51362;Merfy;;;
51363;Merlaut;;;
51364;Méry-Prémecy;;;
51365;Mesneux;;;
51367;Mesnil-sur-Oger;;;
51374;Mondement-Montgivroux;;;
51375;Montbré;;;
51376;Montgenost;;;
51378;Monthelon;;;
51379;Montigny-sur-Vesle;;;
51384;Morangis;;;
51387;Moslins;;;
51390;Moussy;;;
51392;Mutigny;;;
51393;Nanteuil-la-Forêt;;;
51396;Nesle-le-Repons;;;
51398;Neuville-aux-Larris;;;
51403;Nogent-l'Abbesse;;;
51410;Œuilly;;;
51411;Oger;;;
51413;Oiry;;;
51414;Olizy;;;
51416;Orbais-l'Abbaye;;;
51418;Ormes;;;
51421;Oyes;;;
51422;Pargny-lès-Reims;;;
51425;Passy-Grigny;;;
51429;Pévy;;;
51431;Pierry;;;
51437;Poilly;;;
51440;Pontfaverger-Moronvilliers;;;
51444;Pouillon;;;
51445;Pourcy;;;
51448;Prouilly;;;
51450;Puisieulx;;;
51454;Reims;;;
51457;Reuil;;;
51461;Rilly-la-Montagne;;;
51465;Romery;;;
51466;Romigny;;;
51468;Rosnay;;;
51471;Sacy;;;
51472;Saint-Amand-sur-Fion;;;
51479;Saint-Euphraise-et-Clairizet;;;
51480;Sainte-Gemme;;;
51484;Saint-Gilles;;;
51496;Saint-Lumier-en-Champagne;;;
51518;Saint-Thierry;;;
51523;Sarcy;;;
51526;Saudoy;;;
51527;Savigny-sur-Ardres;;;
51529;Selles;;;
51532;Sermiers;;;
51534;Serzy-et-Prin;;;
51535;Sézanne;;;
51536;Sillery;;;
51558;Soulières;;;
51562;Taissy;;;
51563;Talus-Saint-Prix;;;
51564;Val de Livre;;;
51568;Thil;;;
51576;Tours-sur-Marne;;;
51577;Tramery;;;
51580;Trépail;;;
51581;Treslon;;;
51582;Trigny;;;
51584;Trois-Puits;;;
51585;Troissy;;;
51586;Unchair;;;
51589;Vanault-le-Châtel;;;
51591;Vandeuil;;;
51592;Vandières;;;
51597;Vauciennes;;;
51599;Vaudemange;;;
51601;Vavray-le-Grand;;;
51602;Vavray-le-Petit;;;
51605;Venteuil;;;
51609;Verneuil;;;
51611;Vert-Toulon;;;
51612;Blancs-Coteaux;;;
51613;Verzenay;;;
51614;Verzy;;;
51622;Ville-Dommange;;;
51624;Ville-en-Tardenois;;;
51627;Villeneuve-Renneville-Chevigny;;;
51629;Villers-Allerand;;;
51631;Villers-aux-Nœuds;;;
51633;Villers-Franqueux;;;
51636;Villers-Marmery;;;
51637;Villers-sous-Châtillon;;;
51641;Villevenard;;;
51643;Vinay;;;
51644;Vincelles;;;
51645;Vindey;;;
51647;Vitry-en-Perthois;;;
51651;Voipreux;;;
51657;Vrigny;;;
52018;Argentolles;;;
52426;Rizaucourt-Buchey;;;
77117;Citry;;;
77331;Nanteuil-sur-Marne;;;
77397;Saâcy-sur-Marne;;;